Symbol,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price
APOLLOHOSP,2-Nov-17,1033.85,1029.2,1045,1029,1034.45,1032.85
APOLLOHOSP,3-Nov-17,1032.85,1030,1044,1016.1,1018,1022.7
APOLLOHOSP,6-Nov-17,1022.7,1016,1022.45,1010,1011.8,1012.25
APOLLOHOSP,7-Nov-17,1012.25,1020,1020.9,1001,1003.75,1003.05
APOLLOHOSP,8-Nov-17,1003.05,1009.9,1009.9,975.55,987,989
APOLLOHOSP,9-Nov-17,989,996,1000,987.8,997,995.7
APOLLOHOSP,10-Nov-17,995.7,995,1016.8,994.7,1003,1000.25
APOLLOHOSP,13-Nov-17,1000.25,1008.85,1019,983.15,998,996.65
APOLLOHOSP,14-Nov-17,996.65,999,1012.2,957.15,993.95,985.95
APOLLOHOSP,15-Nov-17,985.95,991,1002.35,990,999,997.75
APOLLOHOSP,16-Nov-17,997.75,1007.1,1026.75,998,1023,1022.05
APOLLOHOSP,17-Nov-17,1022.05,1027.4,1067,1023.8,1050.5,1054.85
APOLLOHOSP,20-Nov-17,1054.85,1058.4,1063.3,1037.55,1053.3,1059.6
APOLLOHOSP,21-Nov-17,1059.6,1068.55,1128,1060,1106.6,1107.8
APOLLOHOSP,22-Nov-17,1107.8,1110,1157,1110,1155,1149.5
APOLLOHOSP,23-Nov-17,1149.5,1149,1149,1125.85,1136.75,1139.55
APOLLOHOSP,24-Nov-17,1139.55,1130,1153,1121,1143.3,1145.2
APOLLOHOSP,27-Nov-17,1145.2,1135.15,1140,1118.1,1136,1132
APOLLOHOSP,28-Nov-17,1132,1132.4,1167.15,1091,1102,1109.2
APOLLOHOSP,29-Nov-17,1109.2,1103,1121.6,1097.3,1105.9,1106.1
APOLLOHOSP,30-Nov-17,1106.1,1110,1124,1085.35,1116,1106.3
APOLLOHOSP,1-Dec-17,1106.3,1117.95,1153.1,1116.1,1145.3,1148.25
APOLLOHOSP,4-Dec-17,1148.25,1147,1164.3,1130.6,1155,1156.45
APOLLOHOSP,5-Dec-17,1156.45,1156.45,1179.9,1143.15,1163,1166.1
APOLLOHOSP,6-Dec-17,1166.1,1156.5,1165,1147,1160,1154.5
APOLLOHOSP,7-Dec-17,1154.5,1150.5,1175.6,1150,1170.9,1172.5
APOLLOHOSP,8-Dec-17,1172.5,1182,1194,1173.05,1190,1190.7
APOLLOHOSP,11-Dec-17,1190.7,1190,1209,1186,1193.9,1190.1
APOLLOHOSP,12-Dec-17,1190.1,1199.85,1201.95,1176.4,1188.8,1190.2
APOLLOHOSP,13-Dec-17,1190.2,1188.8,1192.85,1174,1180.05,1183.6
APOLLOHOSP,14-Dec-17,1183.6,1183.95,1210,1183.95,1206,1206.9
APOLLOHOSP,15-Dec-17,1206.9,1206.9,1214.95,1178.55,1196.8,1198.1
APOLLOHOSP,18-Dec-17,1198.1,1198.5,1200.8,1161.75,1172,1172.85
APOLLOHOSP,19-Dec-17,1172.85,1173.5,1188,1156.1,1178,1174.7
APOLLOHOSP,20-Dec-17,1174.7,1178,1190.4,1168.5,1177.7,1173.65
APOLLOHOSP,21-Dec-17,1173.65,1176.65,1202.25,1161.3,1193.2,1193.35
APOLLOHOSP,22-Dec-17,1193.35,1195,1208,1174.65,1179.75,1178.55
APOLLOHOSP,26-Dec-17,1178.55,1180,1192.9,1168.4,1176.1,1179.6
APOLLOHOSP,27-Dec-17,1179.6,1187,1203,1176.1,1202.95,1200.05
APOLLOHOSP,28-Dec-17,1200.05,1201.2,1242,1200,1230,1232.25
APOLLOHOSP,29-Dec-17,1232.25,1230,1230,1200.15,1205,1204.8
