Symbol,Date,Prev_Close,Open_Price,High_Price,Low_Price,Close_Price
ICICIBANK,2-Nov-17,313.4,313.45,320.4,311.4,316.65
ICICIBANK,3-Nov-17,316.65,317.8,318.65,314.05,315.9
ICICIBANK,6-Nov-17,315.9,314.8,320.25,311.65,316.1
ICICIBANK,7-Nov-17,316.1,317.1,317.95,309.35,312.45
ICICIBANK,8-Nov-17,312.45,312,314,303.9,305.5
ICICIBANK,9-Nov-17,305.5,306.8,314.8,306.8,311.3
ICICIBANK,10-Nov-17,311.3,312.5,324.2,311.05,318.5
ICICIBANK,13-Nov-17,318.5,317,321.8,313,314.25
ICICIBANK,14-Nov-17,314.25,313.3,317.1,309.8,314.1
ICICIBANK,15-Nov-17,314.1,312.95,319.6,312.65,315.5
ICICIBANK,16-Nov-17,315.5,316.15,320,316,318.95
ICICIBANK,17-Nov-17,318.95,324,332.35,323.8,325.1
ICICIBANK,20-Nov-17,325.1,323.35,323.9,317.2,318.55
ICICIBANK,21-Nov-17,318.55,318.75,322.2,317.55,319.9
ICICIBANK,22-Nov-17,319.9,319.4,322.1,318.05,318.9
ICICIBANK,23-Nov-17,318.9,319.75,320.5,315.2,319.45
ICICIBANK,24-Nov-17,319.45,319.9,321.05,315.95,317.2
ICICIBANK,27-Nov-17,317.2,315.05,318.6,313.5,317
ICICIBANK,28-Nov-17,317,313.1,315.35,311.75,313.2
ICICIBANK,29-Nov-17,313.2,312.6,316.3,312.3,314.85
ICICIBANK,30-Nov-17,314.85,314.95,315.8,306.25,307.55
ICICIBANK,1-Dec-17,307.55,309.7,309.95,304.4,305.25
ICICIBANK,4-Dec-17,305.25,307.25,307.5,302.3,304.25
ICICIBANK,5-Dec-17,304.25,304.8,307.6,303.7,305.25
ICICIBANK,6-Dec-17,305.25,303.8,305,298.15,299.5
ICICIBANK,7-Dec-17,299.5,301.5,306.75,300.2,305.8
ICICIBANK,8-Dec-17,305.8,307.25,311.9,307,310.75
ICICIBANK,11-Dec-17,310.75,311,312.25,308.25,311.45
