Symbol,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price
INDIGO,2-Nov-17,1244.8,1234.5,1263.2,1234.5,1248,1247.95
INDIGO,3-Nov-17,1247.95,1247.95,1266.75,1240,1255.6,1253.7
INDIGO,6-Nov-17,1253.7,1249.3,1260.95,1239.9,1240.7,1242.2
INDIGO,7-Nov-17,1242.2,1244,1244,1201,1206.4,1208.2
INDIGO,8-Nov-17,1208.2,1196.75,1214.9,1153.8,1183,1179.9
INDIGO,9-Nov-17,1179.9,1180.85,1211,1168.05,1203,1199.35
INDIGO,10-Nov-17,1199.35,1203,1220.4,1166.3,1179.8,1181.85
INDIGO,13-Nov-17,1181.85,1189.25,1189.25,1165,1166.8,1174.5
INDIGO,14-Nov-17,1174.5,1175,1183.6,1154.85,1171,1167.6
INDIGO,15-Nov-17,1167.6,1178,1208,1144,1167,1165.65
INDIGO,16-Nov-17,1165.65,1177.95,1177.95,1155.1,1166.45,1166.4
INDIGO,17-Nov-17,1166.4,1177.6,1183.05,1158.2,1168.2,1165.25
INDIGO,20-Nov-17,1165.25,1178.2,1178.2,1163,1170.4,1171.7
INDIGO,21-Nov-17,1171.7,1174.8,1184.75,1152.95,1165,1166.25
INDIGO,22-Nov-17,1166.25,1174,1178,1159.2,1167.6,1164.95
INDIGO,23-Nov-17,1164.95,1156,1178,1156,1166.65,1169.05
INDIGO,24-Nov-17,1169.05,1175,1188.95,1164.8,1182.5,1180.45
INDIGO,27-Nov-17,1180.45,1180.1,1180.45,1163.95,1166.45,1168.65
INDIGO,28-Nov-17,1168.65,1170,1176,1158,1162.45,1162.8
INDIGO,29-Nov-17,1162.8,1169.7,1170,1150,1153.55,1153.5
INDIGO,30-Nov-17,1153.5,1159.9,1159.9,1115.5,1124.6,1121.55
INDIGO,1-Dec-17,1121.55,1122.1,1154.25,1122.1,1132,1130.65
INDIGO,4-Dec-17,1130.65,1143,1148.3,1124,1143.05,1144.7
INDIGO,5-Dec-17,1144.7,1141,1162,1134,1158,1154.75
INDIGO,6-Dec-17,1154.75,1160,1165.6,1131.05,1135,1137.05
INDIGO,7-Dec-17,1137.05,1145,1155,1120,1126,1124.9
INDIGO,8-Dec-17,1124.9,1127,1197,1126.7,1185,1182.8
INDIGO,11-Dec-17,1182.8,1187.95,1199,1173.25,1192.75,1193.45
INDIGO,12-Dec-17,1193.45,1192.75,1192.75,1159.05,1171.2,1180.25
INDIGO,13-Dec-17,1180.25,1153.05,1157.45,1134,1135,1135.55
INDIGO,14-Dec-17,1135.55,1140,1145.45,1129,1139,1138.35
INDIGO,15-Dec-17,1138.35,1137,1149,1125.1,1135.25,1134.15
INDIGO,18-Dec-17,1134.15,1130,1149.5,1114.25,1138.3,1141.5
INDIGO,19-Dec-17,1141.5,1141,1164.5,1140.5,1157.9,1157.7
INDIGO,20-Dec-17,1157.7,1159.9,1172.9,1153.15,1170,1166.3
INDIGO,21-Dec-17,1166.3,1170.1,1174.2,1135.65,1141.4,1139
INDIGO,22-Dec-17,1139,1144.25,1185.95,1144,1181.95,1179.8
INDIGO,26-Dec-17,1179.8,1181,1213.7,1178,1203.4,1201.95
INDIGO,27-Dec-17,1201.95,1202,1228.9,1186.25,1214,1219.95
INDIGO,28-Dec-17,1219.95,1219,1223.55,1194.1,1206.55,1207.3
INDIGO,29-Dec-17,1207.3,1205,1222,1202.3,1203,1205.5
INDIGO,1-Jan-18,1205.5,1205.95,1219.4,1196.8,1198,1203
INDIGO,2-Jan-18,1203,1209,1209.5,1178,1208,1201.4
INDIGO,3-Jan-18,1201.4,1196.05,1213.15,1196.05,1210,1208.4
INDIGO,4-Jan-18,1208.4,1209.95,1219.85,1205.4,1210.5,1213.65
INDIGO,5-Jan-18,1213.65,1204,1213.6,1193.2,1197,1198.6
INDIGO,8-Jan-18,1198.6,1198.95,1228.5,1190.05,1223,1225.2
