Symbol,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price
RELIANCE,2-Nov-17,952.55,952.8,956.5,944.25,946.8,946.6
RELIANCE,3-Nov-17,946.6,955.95,955.95,940.15,945.95,945.3
RELIANCE,6-Nov-17,945.3,942.5,942.5,929,931.35,932.5
RELIANCE,7-Nov-17,932.5,933.35,935,903.05,906.5,906.7
RELIANCE,8-Nov-17,906.7,902.5,906,884.1,889.5,887.8
RELIANCE,9-Nov-17,887.8,894.75,909.9,892.05,902.9,900.5
RELIANCE,10-Nov-17,900.5,900.95,900.95,879.2,884.9,883.85
RELIANCE,13-Nov-17,883.85,885,891.9,873.5,874.9,875.25
RELIANCE,14-Nov-17,875.25,875,895,873,887.5,886.7
RELIANCE,15-Nov-17,886.7,884.5,890.6,877.95,883.25,883.7
RELIANCE,16-Nov-17,883.7,885.5,906,885.5,905.25,903.85
RELIANCE,17-Nov-17,903.85,918.95,924.9,908.5,913,911.9
RELIANCE,20-Nov-17,911.9,906.2,924.35,905,919,920.85
RELIANCE,21-Nov-17,920.85,926.8,939.65,925.5,932.05,932.55
RELIANCE,22-Nov-17,932.55,937.45,938.65,923.45,934.1,930.75
RELIANCE,23-Nov-17,930.75,931,949.9,926.65,949.7,947
RELIANCE,24-Nov-17,947,950,959.5,947.4,951.25,951.1
RELIANCE,27-Nov-17,951.1,947.25,957.5,944,952.5,951.35
RELIANCE,28-Nov-17,951.35,949.85,951.35,938.1,942.4,943.35
RELIANCE,29-Nov-17,943.35,941.85,950,941,943.45,946
RELIANCE,30-Nov-17,946,941.45,941.45,919.5,922.5,921.55
RELIANCE,1-Dec-17,921.55,924.45,931.25,907.7,909.5,910.1
RELIANCE,4-Dec-17,910.1,913.5,913.8,897.35,902.6,901.6
RELIANCE,5-Dec-17,901.6,901.05,920.75,895.45,914.3,913.7
RELIANCE,6-Dec-17,913.7,910,930.3,908.8,929,926.65
RELIANCE,7-Dec-17,926.65,930.05,936,923,932.45,931.55
RELIANCE,8-Dec-17,931.55,933.85,936.95,919.05,921.3,921
RELIANCE,11-Dec-17,921,922.45,926,913.55,916.5,916.15
RELIANCE,12-Dec-17,916.15,915.95,929,908,917.75,915.6
RELIANCE,13-Dec-17,915.6,916.9,924.95,910.7,914.75,914.65
RELIANCE,14-Dec-17,914.65,919,924.9,908.75,924,921.5
RELIANCE,15-Dec-17,921.5,931,932.95,917.7,921,919.75
RELIANCE,18-Dec-17,919.75,911.95,932.65,862.65,922.45,921
RELIANCE,19-Dec-17,921,923.6,927,920,926.85,925.95
RELIANCE,20-Dec-17,925.95,925.9,927.4,917,918.75,918.15
RELIANCE,21-Dec-17,918.15,918.45,923.95,910,913,912.95
RELIANCE,22-Dec-17,912.95,914.65,922.4,909.3,919.8,920.4
RELIANCE,26-Dec-17,920.4,924.85,938.9,918.15,936,929.8
RELIANCE,27-Dec-17,929.8,933,937.5,919,923.25,923.75
RELIANCE,28-Dec-17,923.75,925.25,934.4,919.1,922.6,924.2
RELIANCE,29-Dec-17,924.2,926.5,932.3,918.5,920.1,921.05
RELIANCE,1-Jan-18,921.05,922.7,922.7,907.5,909.5,909.75
