Symbol,Date,Prev_Close,Open_Price,High_Price,Low_Price,Close_Price
SUNTV,2-Nov-17,853.3,857.7,865,849.6,854.75
SUNTV,3-Nov-17,854.75,861,885,856,881.55
SUNTV,6-Nov-17,881.55,874,913,865.45,903.85
SUNTV,7-Nov-17,903.85,906.95,915.8,870.2,878.75
SUNTV,8-Nov-17,878.75,881.7,889.2,866.35,872.15
SUNTV,9-Nov-17,872.15,876,886.9,848.1,882.4
SUNTV,10-Nov-17,882.4,873.55,887.4,865.6,872.45
SUNTV,13-Nov-17,872.45,893,893,844.05,856.7
SUNTV,14-Nov-17,856.7,855,863.1,846,851.8
SUNTV,15-Nov-17,851.8,859,859,826.65,831.5
SUNTV,16-Nov-17,831.5,837.5,849,832.05,845.55
SUNTV,17-Nov-17,845.55,855,855,839.75,842.55
SUNTV,20-Nov-17,842.55,840.5,845,827,835.6
SUNTV,21-Nov-17,835.6,838.55,857.15,836.6,848.85
SUNTV,22-Nov-17,848.85,854.9,878,843.1,874.5
SUNTV,23-Nov-17,874.5,883,885.9,867,879.15
SUNTV,24-Nov-17,879.15,883,883.55,872.1,877.35
SUNTV,27-Nov-17,877.35,875,889.7,866.05,884.1
SUNTV,28-Nov-17,884.1,881.8,896,876,887.35
SUNTV,29-Nov-17,887.35,880.25,893.45,878.3,882.4
SUNTV,30-Nov-17,882.4,880,881.9,864,869.6
SUNTV,1-Dec-17,869.6,873.95,888,841.6,854.45
SUNTV,4-Dec-17,854.45,854,861.7,828.95,851.7
SUNTV,5-Dec-17,851.7,850,861.35,838.15,857.8
SUNTV,6-Dec-17,857.8,850,857.75,838.6,842.25
SUNTV,7-Dec-17,842.25,846.8,860.3,826.65,857.6
SUNTV,8-Dec-17,857.6,859.55,906.35,843,901.75
SUNTV,11-Dec-17,901.75,907.8,920,893.3,906.2
SUNTV,12-Dec-17,906.2,905.2,908.7,886.1,891.55
SUNTV,13-Dec-17,891.55,890,937,886.25,916.25
SUNTV,14-Dec-17,916.25,927,929.85,901.2,913
SUNTV,15-Dec-17,913,930,940.75,925,934.5
SUNTV,18-Dec-17,934.5,933.05,964,898.6,951.25
SUNTV,19-Dec-17,951.25,948.6,961.05,933.3,941.2
SUNTV,20-Dec-17,941.2,941.8,948.9,925.15,936.5
SUNTV,21-Dec-17,936.5,929.2,999.8,924.2,982.9
SUNTV,22-Dec-17,982.9,988,1007.9,967,999.5
SUNTV,26-Dec-17,999.5,986.4,1018,986.4,999.45
SUNTV,27-Dec-17,999.45,1002,1017,996,1005.25
SUNTV,28-Dec-17,1005.25,1010,1013.85,996.45,999.6
SUNTV,29-Dec-17,999.6,999.6,1009.6,983.55,990.15
SUNTV,1-Jan-18,990.15,990.15,1007.8,990.15,998
SUNTV,2-Jan-18,998,1001,1004.9,983.3,995.2
SUNTV,3-Jan-18,995.2,1005,1009.75,996.15,1004.7
SUNTV,4-Jan-18,1004.7,1007,1030,1005,1028.2
SUNTV,5-Jan-18,1028.2,1027.25,1045,1019,1037.95
SUNTV,8-Jan-18,1037.95,1038,1050.9,1034.15,1044.45
